Climb,Area,Climber,Date,FrenchGrade,Style,Gender,Year,Grade,OriginalArea,SuggestedGrade,AscentNumber,Notes,SuggestedNumberGrade,AveragedNumberGrade
Kemena,"12590 Almenara, Spain",Rubén Díaz Torres,2/9/2013,8C,Boulder Problem,M,2013,V15,Almenara,8C,1,,15,15
Kemena,"12590 Almenara, Spain",Ignacio Sánchez González,11/1/2013,8C,Boulder Problem,M,2013,V15,Almenara,8B+,2,,14,15
Hurricane,5505 Mühlbach am Hochkönig,Bernhard Schwaiger,6/14/2009,8C+,Boulder Problem,M,2009,V16,Birgkar,8C/8C+,1,8C/(8C+),15.5,16
L'Anarchiste,"83603 Saint-Anne, France",Philip Moser,3/23/2003,8C,Boulder Problem,M,2003,V15,St. Anne,8C,1,,15,15
L'Anarchiste,"83603 Saint-Anne, France",Frédéric Tuscan,3/13/2004,8C,Boulder Problem,M,2004,V15,St. Anne,8C,2,,15,15
Le Punk,"83603 Saint-Anne, France",Philip Moser,3/22/2003,8C,Boulder Problem,M,2003,V15,St. Anne,8B+/8C,1,8B+/8C,14.5,15
Outro,Achleitberg,Roland Hemetzberger,12/25/2015,9a+,Sport Route,M,2015,5.15a,Achleiten,9a+,1,,2,2
Txapela,Albarracín,Iker Arroitajauregi,11/1/2013,8C,Boulder Problem,M,2013,V15,Albarracín,8C,1,8C bloc,15,15
Txapela,Albarracín,Daniel Andrada Jiménez,12/20/2013,8C,Boulder Problem,M,2013,V15,Albarracín,8C,2,"5 days, 8C trav/9a",15,15
Txapela,Albarracín,Alberto Rocasolano Jaudenes,1/9/2014,8C,Boulder Problem,M,2014,V15,Albarracín,UNKNOWN,3,"more like a traverse/highball, 5 days",0,15
Robin úd,"Alternativna Stena, Slovakia",Adam Ondra,10/5/2016,9b,Sport Route,M,2016,5.15b,Alternatívna Stena,9b,1,5 days,3,3
Lapsus,Andonno,Stefano Ghisolfi,11/2/2015,9b,Sport Route,M,2015,5.15b,Andonno,9b,1,10+ days,3,3
Lapsus,Andonno,Adam Ondra,4/20/2017,9b,Sport Route,M,2017,5.15b,Andonno,9b,2,9b soft,3,3
Eskerrik Asko,Araotz,Markel Mendieta Uribarren,12/1/2016,8C,Boulder Problem,M,2016,V15,Araotz,8C,1,,15,15
Lurragorri,Araotz,Markel Mendieta Uribarren,4/27/2014,8C,Boulder Problem,M,2014,V15,Araotz,8C,1,"Or April 29, 2014",15,15
One Punch,Arco,Stefano Ghisolfi,4/30/2017,9b,Sport Route,M,2017,5.15b,Arco,9a+/9b,1,10 days. 9a+ hard (9b),2.5,3
One Punch,Arco,Adam Ondra,11/13/2017,9b,Sport Route,M,2017,5.15b,Arco,9a+/9b,2,,2.5,3
One Slap,Arco,Adam Ondra,11/13/2017,9b,Sport Route,M,2017,5.15b,Arco,9b,1,,3,3
One Slap,Arco,Stefano Ghisolfi,11/22/2017,9b,Sport Route,M,2017,5.15b,Arco,9b,2,,3,3
Queen Line,Arco,Adam Ondra,4/18/2017,9b,Sport Route,M,2017,5.15b,Arco,9b,1,9b hard. 4 days + a few goes three years ago,3,3
Queen Line,Arco,Stefano Ghisolfi,2/26/2019,9b,Sport Route,M,2019,5.15b,Arco,9b,2,,3,3
Ultimatum,Arco,Stefano Ghisolfi,12/19/2016,9a+,Sport Route,M,2016,5.15a,Massone,9a+,1,,2,2
Ultimatum,Arco,Eric Albertini,4/4/2017,9a+,Sport Route,M,2017,5.15a,Massone,9a+,2,,2,2
Ultimatum,Arco,Adam Ondra,4/18/2017,9a+,Sport Route,M,2017,5.15a,Massone,9a+,3,,2,2
Underground Dreaming,Arco,Adam Ondra,2/24/2018,9a+,Sport Route,M,2018,5.15a,Arco,9a+,1,,2,2
Cthulhu,Arnao,Ignacio Sánchez González,5/1/2015,8C,Boulder Problem,M,2015,V15,Arnao,8C,1,6 months,15,15
Stone Butterfly,Baile Herculane,Adam Ondra,5/15/2018,9a+,Sport Route,M,2018,5.15a,Baile Herculane,9a+,1,,2,2
Airian,Baltzola,Iván Larrión,3/1/2012,8C,Boulder Problem,M,2012,V15,Baltzola,8C,1,,15,15
Airian,Baltzola,Alberto Rocasolano Jaudenes,5/31/2016,8C,Boulder Problem,M,2016,V15,Baltzola,8C,2,,15,15
Mikelon,Baltzola,Iván Larrión,2/1/2016,8C,Boulder Problem,M,2016,V15,Baltzola,8B+/8C,1,8B+/8C,14.5,15
Kryptos,Basler Jura,Franz Widmer,5/10/2009,8C,Boulder Problem,M,2009,V15,Basler Jura,8C,1,,15,15
Kryptos,Basler Jura,Frédéric Nicole,10/29/2009,8C,Boulder Problem,M,2009,V15,Basler Jura,8C,2,,15,15
Kryptos,Basler Jura,Kevin Heiniger,4/24/2017,8C,Boulder Problem,M,2017,V15,Basler Jura,8C,3,,15,15
Kryptos,Basler Jura,Katrin Lehmann,5/14/2018,8C,Boulder Problem,F,2018,V15,Basler Jura,8C,4,2nd woman to climb V15.,15,15
Kryptos,Basler Jura,Elias Iagnemma,11/8/2018,8C,Boulder Problem,M,2018,V15,Basler Jura,8C,5,,15,15
Kryptos,Basler Jura,Christof Rauch,3/29/2019,8C,Boulder Problem,M,2019,V15,Basler Jura,8B+,6,,14,15
